iter	Passed	Remaining
619	22726	13929
620	22765	13894
621	22804	13858
622	22845	13824
623	22885	13790
624	22900	13740
625	22938	13704
626	22953	13654
627	22993	13620
628	23034	13586
629	23077	13553
630	23092	13504
631	23131	13468
632	23171	13434
633	23211	13399
634	23251	13365
635	23283	13326
636	23299	13277
637	23336	13241
638	23357	13195
639	23389	13156
640	23427	13121
641	23467	13086
642	23508	13052
643	23535	13010
644	23575	12975
645	23615	12940
646	23655	12906
647	23695	12871
648	23735	12836
649	23761	12794
650	23800	12759
651	23843	12726
652	23881	12690
653	23896	12642
654	23935	12607
655	23975	12572
656	24003	12531
657	24045	12497
658	24066	12453
659	24104	12417
660	24113	12367
661	24152	12331
662	24167	12284
663	24206	12249
664	24247	12214
665	24286	12179
666	24302	12132
667	24339	12096
668	24366	12056
669	24406	12020
670	24445	11986
671	24485	11951
672	24500	11904
673	24538	11868
674	24553	11822
675	24581	11781
676	24619	11745
677	24659	11711
678	24680	11667
679	24701	11624
680	24727	11583
681	24749	11540
682	24789	11505
683	24830	11471
684	24845	11425
685	24884	11390
686	24924	11355
687	24963	11320
688	25002	11285
689	25038	11249
690	25070	11211
691	25090	11167
692	25132	11133
693	25170	11098
694	25212	11064
695	25251	11029
696	25293	10995
697	25319	10954
698	25334	10909
699	25353	10865
700	25373	10822
701	25411	10787
702	25426	10741
703	25465	10706
704	25504	10671
705	25524	10629
706	25563	10594
707	25604	10559
708	25624	10517
709	25644	10474
710	25658	10429
711	25672	10384
712	25686	10339
713	25724	10304
714	25764	10269
715	25786	10228
716	25807	10186
717	25827	10143
718	25866	10109
719	25907	10075
720	25922	10031
721	25960	9995
722	25988	9956
723	26028	9922
724	26055	9883
725	26095	9848
726	26109	9804
727	26153	9771
728	26169	9728
729	26207	9693
730	26247	9658
731	26289	9625
732	26330	9591
733	26370	9556
734	26410	9521
735	26450	9487
736	26490	9453
737	26523	9416
738	26563	9381
739	26603	9347
740	26617	9303
741	26657	9268
742	26696	9234
743	26716	9192
744	26731	9149
745	26751	9108
746	26777	9069
747	26816	9034
748	26855	8999
749	26895	8965
750	26915	8924
751	26935	8883
752	26973	8847
753	27013	8813
754	27055	8779
755	27095	8745
756	27122	8706
757	27136	8663
758	27175	8628
759	27190	8586
760	27228	8551
761	27267	8516
762	27306	8481
763	27347	8447
764	27386	8412
765	27435	8380
766	27455	8340
767	27494	8305
768	27533	8270
769	27573	8236
770	27613	8201
771	27646	8164
772	27678	8128
773	27712	8091
774	27745	8055
775	27784	8020
776	27823	7985
777	27838	7943
778	27870	7906
779	27908	7871
780	27947	7836
781	27979	7799
782	28021	7765
783	28063	7731
784	28102	7696
785	28123	7657
786	28162	7622
787	28203	7587
788	28231	7549
789	28245	7508
790	28258	7466
791	28297	7431
792	28335	7396
793	28376	7362
794	28418	7328
795	28446	7290
796	28484	7255
797	28522	7220
798	28538	7179
799	28552	7138
800	28591	7103
801	28631	7068
802	28658	7030
803	28697	6995
804	28737	6961
805	28777	6926
806	28820	6892
807	28860	6857
808	28900	6823
809	28922	6784
810	28962	6749
811	28982	6710
812	29024	6675
813	29065	6641
814	29105	6606
815	29143	6571
816	29184	6537
817	29200	6496
818	29208	6455
819	29247	6420
820	29287	6385
821	29328	6350
822	29368	6316
823	29409	6281
824	29454	6247
825	29493	6212
826	29532	6177
827	29573	6143
828	29594	6104
829	29633	6069
830	29673	6034
831	29712	5999
832	29751	5964
833	29784	5928
834	29825	5893
835	29866	5858
836	29881	5819
837	29929	5785
838	29968	5750
839	30011	5716
840	30050	5681
841	30090	5646
842	30131	5611
843	30171	5576
844	30210	5541
845	30230	5502
846	30269	5467
847	30309	5432
848	30329	5394
849	30368	5359
850	30407	5324
851	30429	5285
852	30456	5248
853	30495	5213
854	30535	5178
855	30574	5143
856	30601	5106
857	30641	5071
858	30681	5036
859	30722	5001
860	30762	4966
861	30802	4931
862	30842	4896
863	30857	4857
864	30895	4821
865	30935	4786
866	30975	4751
867	30991	4713
868	31013	4675
869	31052	4640
870	31092	4604
871	31132	4569
872	31176	4535
873	31219	4500
874	31258	4465
875	31297	4430
876	31336	4394
877	31375	4359
878	31415	4324
879	31455	4289
880	31482	4252
881	31523	4217
882	31562	4182
883	31602	4146
884	31645	4112
885	31686	4077
886	31726	4041
887	31766	4006
888	31807	3971
889	31879	3940
890	31922	3905
891	31947	3868
